Sum of Age,Sum of CommuteDistance,CommuteMode,Dept,EduLevel,Count of EmpID,EmpType,Gender,Sum of Experience,haveOT,JobLevel,Sum of JobSatisfaction,MaritalStatus,Sum of NumCompanies,Sum of NumReports,Sum of PhysicalActivityHours,Sum of SleepHours,Sum of Stress,Sum of TeamSize,Sum of TrainingHoursPerYear,Sum of WLB,Sum of WorkEnv,Sum of Workload
31,10,Bike,Customer Service,Bachelor,1,Part-Time,Male,2,FALSE,Senior,5,Married,3,1,3,9,1,15,41,4,5,3
36,1,Bike,Customer Service,Bachelor,1,Part-Time,Other,14,FALSE,Mid,2,Single,4,0,3,8,2,11,37,1,4,1
24,1,Bike,Customer Service,High School,1,Part-Time,Other,2,FALSE,Junior,4,Single,0,0,2,8,1,9,21,1,2,2
46,5,Bike,Customer Service,Master,1,Full-Time,Female,8,FALSE,Senior,3,Married,8,5,3,8,3,15,44,5,1,1
32,1,Bike,Customer Service,Master,1,Part-Time,Female,6,FALSE,Senior,5,Married,3,6,2,6,4,17,43,4,4,4
49,8,Bike,Customer Service,PhD,1,Full-Time,Other,13,FALSE,Lead,1,Single,9,4,1,7,4,21,56,4,2,3
28,10,Bike,Finance,Bachelor,1,Contract,Female,6,FALSE,Junior,5,Single,2,0,2,7,3,7,23,5,5,1
31,9,Bike,Finance,Bachelor,1,Contract,Female,5,FALSE,Senior,2,Single,3,1,4,7,1,23,42,4,3,5
39,3,Bike,Finance,Bachelor,1,Contract,Female,15,TRUE,Mid,1,Married,5,0,2,7,3,14,38,3,2,4
23,8,Bike,Finance,Bachelor,1,Contract,Male,1,FALSE,Junior,4,Single,0,0,1,6,4,9,20,1,5,2
30,1,Bike,Finance,Bachelor,1,Contract,Male,8,FALSE,Mid,4,Single,2,0,3,5,3,14,34,2,3,1
37,4,Bike,Finance,Bachelor,1,Contract,Male,15,TRUE,Mid,4,Married,5,0,1,7,1,15,38,5,5,3
23,8,Bike,Finance,Bachelor,1,Full-Time,Female,1,FALSE,Intern/Fresher,4,Single,0,0,0,6,1,20,10,4,5,4
25,4,Bike,Finance,Bachelor,1,Full-Time,Female,3,FALSE,Junior,4,Married,1,0,2,6,1,5,22,4,1,3
79,11,Bike,Finance,Bachelor,3,Full-Time,Female,13,FALSE,Junior,11,Single,4,0,9,22,4,18,67,9,11,8
50,9,Bike,Finance,Bachelor,1,Full-Time,Female,3,FALSE,Lead,2,Married,9,1,2,5,2,20,52,2,5,3
49,7,Bike,Finance,Bachelor,1,Full-Time,Female,18,FALSE,Mid,5,Divorced,9,0,2,6,2,13,39,5,5,2
70,9,Bike,Finance,Bachelor,2,Full-Time,Female,22,FALSE,Mid,5,Married,8,0,3,14,3,25,71,4,4,7
88,9,Bike,Finance,Bachelor,3,Full-Time,Female,21,FALSE,Mid,12,Single,6,0,5,22,3,39,101,7,9,5
183,17,Bike,Finance,Bachelor,4,Full-Time,Female,35,FALSE,Senior,13,Married,29,19,7,27,10,81,178,11,8,13
22,2,Bike,Finance,Bachelor,1,Full-Time,Female,0,TRUE,Intern/Fresher,3,Single,0,0,2,7,1,21,10,1,3,4
23,2,Bike,Finance,Bachelor,1,Full-Time,Female,1,TRUE,Junior,4,Single,0,0,4,7,1,6,20,1,5,1
37,7,Bike,Finance,Bachelor,1,Full-Time,Female,12,TRUE,Senior,1,Married,5,7,3,6,2,15,46,1,2,4
22,5,Bike,Finance,Bachelor,1,Full-Time,Male,0,FALSE,Intern/Fresher,2,Single,0,0,3,8,3,25,10,4,3,2
84,18,Bike,Finance,Bachelor,3,Full-Time,Male,12,FALSE,Junior,11,Single,5,0,5,23,3,21,65,12,9,11
51,5,Bike,Finance,Bachelor,1,Full-Time,Male,7,FALSE,Lead,5,Divorced,9,3,1,5,2,30,54,5,5,2
209,11,Bike,Finance,Bachelor,4,Full-Time,Male,52,FALSE,Lead,12,Married,39,9,8,28,8,110,226,17,14,17
49,2,Bike,Finance,Bachelor,1,Full-Time,Male,3,FALSE,Mid,5,Married,9,0,3,10,1,12,32,4,4,2
55,18,Bike,Finance,Bachelor,2,Full-Time,Male,11,FALSE,Mid,5,Single,3,0,4,13,4,29,65,6,4,8
46,8,Bike,Finance,Bachelor,1,Full-Time,Male,10,FALSE,Senior,4,Divorced,8,6,2,6,2,18,45,4,5,2
209,24,Bike,Finance,Bachelor,5,Full-Time,Male,59,FALSE,Senior,15,Married,30,20,11,33,8,99,230,12,19,17
31,9,Bike,Finance,Bachelor,1,Full-Time,Male,9,TRUE,Senior,1,Married,3,8,2,6,1,17,44,3,4,5
22,8,Bike,Finance,Bachelor,1,Full-Time,Other,0,FALSE,Intern/Fresher,4,Single,0,0,2,7,3,23,10,4,5,2
29,2,Bike,Finance,Bachelor,1,Full-Time,Other,7,FALSE,Junior,5,Single,2,0,4,10,1,6,24,4,4,2
33,5,Bike,Finance,Bachelor,1,Full-Time,Other,11,FALSE,Mid,4,Single,3,0,3,7,1,15,36,1,4,3
121,12,Bike,Finance,Bachelor,3,Full-Time,Other,44,FALSE,Senior,10,Single,17,10,7,20,3,58,142,11,5,11
22,6,Bike,Finance,Bachelor,1,Full-Time,Other,0,TRUE,Intern/Fresher,4,Single,0,0,4,7,1,27,10,4,1,1
114,16,Bike,Finance,Bachelor,3,Part-Time,Female,23,FALSE,Mid,9,Married,15,0,6,20,7,38,100,10,6,7
64,10,Bike,Finance,Bachelor,2,Part-Time,Female,20,FALSE,Mid,7,Single,6,0,5,15,2,24,70,8,6,7
68,9,Bike,Finance,Bachelor,2,Part-Time,Female,14,FALSE,Senior,7,Married,8,9,6,14,5,46,87,6,5,4
37,9,Bike,Finance,Bachelor,1,Part-Time,Female,15,TRUE,Mid,4,Married,5,0,3,7,4,14,38,5,3,1
28,10,Bike,Finance,Bachelor,1,Part-Time,Female,6,TRUE,Mid,1,Single,2,0,2,8,1,11,33,2,1,5
34,9,Bike,Finance,Bachelor,1,Part-Time,Male,12,FALSE,Senior,4,Divorced,4,2,0,7,1,23,46,5,5,5
121,19,Bike,Finance,Bachelor,3,Part-Time,Male,55,FALSE,Senior,11,Married,17,16,5,25,5,70,148,13,11,8
30,1,Bike,Finance,Bachelor,1,Part-Time,Male,3,TRUE,Senior,4,Single,2,8,2,6,1,18,42,3,4,2
37,5,Bike,Finance,Bachelor,1,Part-Time,Other,14,FALSE,Mid,3,Single,5,0,2,6,4,11,37,3,3,2
24,10,Bike,Finance,High School,1,Full-Time,Female,2,FALSE,Junior,3,Single,0,0,3,8,3,9,21,1,5,5
23,8,Bike,Finance,High School,1,Full-Time,Male,1,FALSE,Intern/Fresher,4,Single,0,0,2,8,3,25,10,4,2,2
50,18,Bike,Finance,High School,2,Full-Time,Male,6,FALSE,Junior,6,Single,1,0,2,13,2,13,43,7,9,10
22,6,Bike,Finance,High School,1,Full-Time,Other,0,FALSE,Intern/Fresher,4,Single,0,0,0,8,1,30,10,4,5,3
57,1,Bike,Finance,Master,1,Full-Time,Female,13,FALSE,Lead,4,Married,11,7,1,7,1,23,56,3,5,3
50,3,Bike,Finance,Master,1,Full-Time,Male,6,FALSE,Lead,3,Divorced,9,3,2,5,2,29,53,5,2,4
60,10,Bike,Finance,Master,1,Full-Time,Male,26,FALSE,Lead,3,Married,12,3,2,6,4,26,63,1,3,3
39,4,Bike,Finance,Master,1,Full-Time,Male,3,FALSE,Mid,4,Married,5,0,3,8,1,15,32,4,4,1
46,7,Bike,Finance,Master,1,Full-Time,Male,2,FALSE,Senior,4,Married,8,8,1,7,1,20,41,4,5,5
48,4,Bike,Finance,Master,1,Full-Time,Other,10,FALSE,Senior,5,Single,8,6,2,6,2,16,45,4,4,2
54,5,Bike,Finance,Master,1,Full-Time,Other,23,TRUE,Lead,5,Single,10,1,1,7,1,23,62,5,2,2
40,1,Bike,Finance,Master,1,Full-Time,Other,2,TRUE,Senior,5,Single,6,8,2,5,1,17,41,2,5,1
75,15,Bike,Finance,Master,2,Part-Time,Male,31,FALSE,Senior,7,Married,10,5,2,14,2,30,96,10,10,5
52,2,Bike,Finance,PhD,1,Full-Time,Female,14,FALSE,Lead,4,Married,10,8,0,7,1,25,57,5,2,4
47,2,Bike,Finance,PhD,1,Full-Time,Male,18,TRUE,Lead,4,Married,8,7,2,7,1,30,59,4,5,4
39,8,Bike,HR,Bachelor,1,Contract,Female,15,FALSE,Senior,1,Married,5,1,1,5,3,15,48,1,5,4
37,8,Bike,HR,Bachelor,1,Contract,Female,6,FALSE,Senior,5,Single,5,2,3,7,2,25,43,4,5,1
46,16,Bike,HR,Bachelor,2,Full-Time,Female,2,FALSE,Junior,5,Single,0,0,5,13,2,13,41,7,4,9
76,9,Bike,HR,Bachelor,2,Full-Time,Female,32,FALSE,Mid,10,Married,10,0,4,14,6,20,76,5,5,9
42,2,Bike,HR,Bachelor,1,Full-Time,Female,2,FALSE,Mid,1,Single,6,0,1,6,1,13,31,1,3,3
83,8,Bike,HR,Bachelor,2,Full-Time,Female,28,FALSE,Senior,9,Married,12,3,4,12,3,45,94,5,9,5
29,7,Bike,HR,Bachelor,1,Full-Time,Male,7,FALSE,Junior,4,Single,2,0,2,8,1,10,24,1,4,5
30,2,Bike,HR,Bachelor,1,Full-Time,Male,8,FALSE,Senior,4,Single,2,3,3,7,1,25,44,2,5,1
57,9,Bike,HR,Bachelor,1,Full-Time,Male,17,TRUE,Senior,1,Married,11,7,2,7,1,24,48,1,1,1
40,5,Bike,HR,Bachelor,1,Part-Time,Female,17,FALSE,Senior,1,Married,6,7,3,7,4,24,48,2,3,5
27,2,Bike,HR,Bachelor,1,Part-Time,Male,5,FALSE,Junior,4,Single,1,0,2,6,1,6,22,5,2,4
28,9,Bike,HR,High School,1,Full-Time,Female,6,FALSE,Junior,1,Married,2,0,2,8,4,10,23,1,5,4
33,5,Bike,HR,Master,1,Full-Time,Female,10,FALSE,Senior,4,Married,3,3,0,8,2,18,45,1,4,3
32,1,Bike,HR,Master,1,Full-Time,Male,9,FALSE,Senior,3,Married,3,5,3,6,4,15,44,3,2,1
39,9,Bike,HR,Master,1,Part-Time,Female,17,FALSE,Mid,3,Single,5,0,0,7,1,12,38,1,4,1
51,8,Bike,HR,PhD,1,Full-Time,Male,25,FALSE,Lead,4,Married,9,6,1,7,1,26,62,5,2,3
37,3,Bike,IT,Bachelor,1,Contract,Female,15,TRUE,Mid,1,Single,5,0,2,7,2,11,38,3,1,3
54,2,Bike,IT,Bachelor,1,Contract,Female,19,TRUE,Senior,2,Married,10,8,2,6,2,19,50,4,4,2
53,13,Bike,IT,Bachelor,2,Contract,Male,9,FALSE,Junior,5,Single,2,0,4,14,5,15,45,4,2,6
51,12,Bike,IT,Bachelor,2,Contract,Male,7,TRUE,Junior,8,Single,1,0,3,15,2,17,43,2,4,7
30,6,Bike,IT,Bachelor,1,Contract,Male,7,TRUE,Mid,3,Married,2,0,2,6,2,14,34,3,4,4
39,1,Bike,IT,Bachelor,1,Contract,Male,17,TRUE,Mid,5,Single,5,0,3,9,1,14,38,5,5,2
48,10,Bike,IT,Bachelor,1,Contract,Male,24,TRUE,Senior,4,Divorced,8,8,1,9,1,17,52,2,3,4
36,2,Bike,IT,Bachelor,1,Contract,Male,14,TRUE,Senior,2,Married,4,2,1,6,2,25,47,2,1,3
23,3,Bike,IT,Bachelor,1,Contract,Other,1,TRUE,Intern/Fresher,4,Single,0,0,3,7,1,27,10,1,5,3
29,2,Bike,IT,Bachelor,1,Full-Time,Female,7,FALSE,Junior,1,Single,2,0,1,6,1,5,24,2,1,3
54,17,Bike,IT,Bachelor,2,Full-Time,Female,10,TRUE,Junior,6,Single,2,0,4,13,2,18,44,8,5,6
34,1,Bike,IT,Bachelor,1,Full-Time,Female,6,TRUE,Mid,4,Married,4,0,1,7,2,13,33,4,3,1
26,4,Bike,IT,Bachelor,1,Full-Time,Female,3,TRUE,Mid,1,Single,1,0,1,7,3,10,32,2,5,5
33,8,Bike,IT,Bachelor,1,Full-Time,Female,11,TRUE,Senior,1,Divorced,3,1,2,8,1,16,46,1,4,5
33,7,Bike,IT,Bachelor,1,Full-Time,Female,6,TRUE,Senior,4,Married,3,9,2,7,1,17,43,2,5,4
25,4,Bike,IT,Bachelor,1,Full-Time,Male,3,FALSE,Junior,3,Single,1,0,0,6,2,9,22,3,2,5
153,15,Bike,IT,Bachelor,3,Full-Time,Male,61,FALSE,Lead,10,Married,28,14,4,23,3,77,181,8,11,10
111,20,Bike,IT,Bachelor,3,Full-Time,Male,36,FALSE,Mid,10,Married,14,0,5,21,3,36,108,6,6,8
37,10,Bike,IT,Bachelor,1,Full-Time,Male,15,FALSE,Mid,4,Single,5,0,3,7,1,14,38,5,4,4
87,10,Bike,IT,Bachelor,2,Full-Time,Male,24,FALSE,Senior,5,Married,13,10,5,14,4,39,92,5,5,5
55,4,Bike,IT,Bachelor,2,Full-Time,Male,11,FALSE,Senior,7,Single,3,14,4,12,3,38,85,3,9,7
23,3,Bike,IT,Bachelor,1,Full-Time,Male,1,TRUE,Intern/Fresher,3,Single,0,0,3,7,2,20,10,4,5,3
75,19,Bike,IT,Bachelor,3,Full-Time,Male,9,TRUE,Junior,6,Single,2,0,5,22,6,29,65,10,5,12
54,4,Bike,IT,Bachelor,1,Full-Time,Male,21,TRUE,Lead,4,Divorced,10,8,2,8,1,28,60,2,5,5
105,14,Bike,IT,Bachelor,2,Full-Time,Male,29,TRUE,Lead,9,Married,20,12,5,15,2,47,115,9,8,3
38,10,Bike,IT,Bachelor,1,Full-Time,Male,10,TRUE,Mid,3,Divorced,5,0,4,6,2,15,35,3,2,2
181,26,Bike,IT,Bachelor,5,Full-Time,Male,37,TRUE,Mid,16,Married,22,0,11,35,7,63,168,13,18,16
161,19,Bike,IT,Bachelor,5,Full-Time,Male,49,TRUE,Mid,16,Single,16,0,8,33,8,62,174,16,9,22
153,28,Bike,IT,Bachelor,3,Full-Time,Male,30,TRUE,Senior,10,Divorced,28,14,8,23,3,58,135,7,10,6
119,11,Bike,IT,Bachelor,3,Full-Time,Male,30,TRUE,Senior,6,Married,17,19,6,20,3,65,135,7,12,10
172,30,Bike,IT,Bachelor,5,Full-Time,Male,50,TRUE,Senior,17,Single,19,22,13,33,5,111,225,21,16,11
44,2,Bike,IT,Bachelor,1,Full-Time,Other,22,FALSE,Mid,4,Single,7,0,2,5,1,11,41,2,4,1
59,2,Bike,IT,Bachelor,1,Full-Time,Other,20,FALSE,Senior,4,Single,12,9,2,6,1,24,50,1,5,3
49,7,Bike,IT,Bachelor,1,Full-Time,Other,24,TRUE,Mid,2,Single,9,0,2,7,1,13,42,4,3,5
131,17,Bike,IT,Bachelor,3,Full-Time,Other,55,TRUE,Senior,8,Single,21,18,4,18,9,70,148,9,6,8
24,2,Bike,IT,Bachelor,1,Part-Time,Female,2,TRUE,Mid,4,Single,0,0,3,8,1,12,31,5,2,5
24,10,Bike,IT,Bachelor,1,Part-Time,Male,2,FALSE,Mid,1,Single,0,0,3,7,5,10,31,4,5,5
87,7,Bike,IT,Bachelor,2,Part-Time,Male,28,FALSE,Senior,10,Divorced,14,15,4,16,2,37,94,7,9,7
25,1,Bike,IT,Bachelor,1,Part-Time,Male,3,FALSE,Senior,1,Single,1,9,2,5,2,20,42,1,2,3
176,41,Bike,IT,Bachelor,7,Part-Time,Male,20,TRUE,Junior,21,Single,4,0,16,51,13,53,149,16,20,21
102,19,Bike,IT,Bachelor,3,Part-Time,Male,17,TRUE,Mid,11,Married,11,0,7,18,4,36,98,9,10,10
122,27,Bike,IT,Bachelor,4,Part-Time,Male,33,TRUE,Mid,15,Single,10,0,9,28,8,48,136,15,9,5
96,5,Bike,IT,Bachelor,2,Part-Time,Male,16,TRUE,Senior,2,Married,17,3,5,12,2,47,88,3,2,4
79,21,Bike,IT,Bachelor,3,Part-Time,Male,7,TRUE,Senior,9,Single,3,7,7,19,6,61,124,10,4,9
22,9,Bike,IT,Bachelor,1,Part-Time,Other,0,TRUE,Junior,3,Single,0,0,2,7,3,8,20,3,5,5
24,2,Bike,IT,High School,1,Full-Time,Female,2,FALSE,Junior,4,Married,0,0,2,8,2,5,21,2,2,4
46,14,Bike,IT,High School,2,Full-Time,Female,2,FALSE,Junior,8,Single,0,0,2,12,3,15,40,5,7,6
26,1,Bike,IT,High School,1,Full-Time,Female,4,TRUE,Junior,3,Single,1,0,1,6,1,5,22,4,1,3
22,4,Bike,IT,High School,1,Full-Time,Male,0,FALSE,Intern/Fresher,5,Single,0,0,1,6,2,20,10,4,4,1
24,9,Bike,IT,High School,1,Full-Time,Male,1,FALSE,Junior,5,Single,0,0,1,8,1,9,20,3,3,1
57,19,Bike,IT,High School,2,Full-Time,Male,13,TRUE,Junior,7,Single,4,0,2,15,2,13,47,5,7,5
22,3,Bike,IT,High School,1,Part-Time,Male,0,FALSE,Intern/Fresher,4,Single,0,0,2,8,1,21,10,1,4,4
22,10,Bike,IT,High School,1,Part-Time,Male,0,TRUE,Intern/Fresher,3,Single,0,0,2,7,2,20,10,1,5,1
29,3,Bike,IT,High School,1,Part-Time,Male,7,TRUE,Junior,2,Single,2,0,0,6,2,6,24,5,5,2
33,7,Bike,IT,Master,1,Contract,Male,6,FALSE,Mid,4,Married,3,0,1,6,4,10,33,3,4,2
47,9,Bike,IT,Master,1,Contract,Male,24,FALSE,Senior,4,Divorced,8,1,1,7,1,23,52,4,1,1
51,3,Bike,IT,Master,1,Contract,Male,28,TRUE,Lead,5,Married,9,2,1,7,5,28,64,2,2,5
33,5,Bike,IT,Master,1,Contract,Other,5,TRUE,Senior,3,Single,3,2,2,6,1,20,42,5,1,1
47,8,Bike,IT,Master,1,Full-Time,Female,18,TRUE,Lead,3,Married,8,5,3,8,1,29,59,3,1,5
48,3,Bike,IT,Master,1,Full-Time,Female,23,TRUE,Lead,3,Single,8,7,1,6,3,23,62,1,2,5
30,9,Bike,IT,Master,1,Full-Time,Female,8,TRUE,Senior,5,Married,2,2,3,6,2,23,44,3,2,1
34,3,Bike,IT,Master,1,Full-Time,Male,9,FALSE,Mid,4,Married,4,0,2,5,1,11,34,5,5,3
107,18,Bike,IT,Master,2,Full-Time,Male,32,TRUE,Lead,4,Married,21,14,5,14,4,51,116,5,5,9
151,22,Bike,IT,Master,4,Full-Time,Male,38,TRUE,Senior,18,Married,19,25,8,26,8,80,180,16,11,11
34,6,Bike,IT,Master,1,Full-Time,Other,7,TRUE,Senior,4,Single,4,2,2,7,2,17,44,3,1,1
35,5,Bike,IT,Master,1,Part-Time,Male,13,FALSE,Senior,5,Single,4,3,2,6,1,21,46,3,4,4
40,4,Bike,IT,PhD,1,Full-Time,Male,16,TRUE,Lead,4,Married,6,2,1,8,1,23,58,4,2,2
24,4,Bike,Legal,Bachelor,1,Contract,Female,2,FALSE,Junior,4,Single,0,0,1,8,1,6,21,2,3,1
31,9,Bike,Legal,Bachelor,1,Contract,Female,9,FALSE,Senior,4,Single,3,7,2,7,1,20,44,1,2,1
23,5,Bike,Legal,Bachelor,1,Full-Time,Female,1,FALSE,Intern/Fresher,5,Single,0,0,3,7,1,24,10,5,3,4
36,10,Bike,Legal,Bachelor,1,Full-Time,Female,14,FALSE,Mid,1,Married,4,0,2,8,3,11,37,2,2,5
114,20,Bike,Legal,Bachelor,3,Full-Time,Female,40,FALSE,Senior,9,Married,15,11,7,21,6,58,139,5,8,9
38,4,Bike,Legal,Bachelor,1,Full-Time,Female,3,FALSE,Senior,4,Single,5,3,1,8,3,25,42,2,5,2
27,7,Bike,Legal,Bachelor,1,Full-Time,Female,5,TRUE,Junior,4,Single,1,0,3,7,2,10,22,5,5,2
105,9,Bike,Legal,Bachelor,2,Full-Time,Male,18,FALSE,Lead,5,Married,19,8,4,11,5,46,108,4,7,6
71,20,Bike,Legal,Bachelor,2,Full-Time,Male,7,FALSE,Mid,7,Married,8,0,5,12,8,30,63,7,5,2
34,9,Bike,Legal,Bachelor,1,Full-Time,Male,12,FALSE,Mid,4,Single,4,0,2,6,1,12,36,4,4,5
156,21,Bike,Legal,Bachelor,4,Full-Time,Male,40,FALSE,Senior,10,Married,22,14,8,26,9,83,181,8,11,14
76,14,Bike,Legal,Bachelor,2,Full-Time,Male,23,FALSE,Senior,9,Single,10,8,3,13,3,33,92,6,4,5
31,10,Bike,Legal,Bachelor,1,Full-Time,Male,9,TRUE,Mid,1,Single,3,0,3,7,1,14,34,4,2,4
33,9,Bike,Legal,Bachelor,1,Full-Time,Male,6,TRUE,Senior,4,Married,3,2,3,6,1,19,43,3,5,3
29,5,Bike,Legal,Bachelor,1,Part-Time,Female,7,FALSE,Junior,3,Married,2,0,2,6,1,6,24,1,3,4
29,5,Bike,Legal,Bachelor,1,Part-Time,Female,7,FALSE,Junior,1,Single,2,0,2,7,3,6,24,2,2,4
46,3,Bike,Legal,Bachelor,1,Part-Time,Female,12,FALSE,Mid,4,Married,8,0,4,6,1,12,36,1,4,2
22,7,Bike,Legal,Bachelor,1,Part-Time,Male,0,FALSE,Intern/Fresher,5,Single,0,0,2,10,2,23,10,5,4,2
25,7,Bike,Legal,Bachelor,1,Part-Time,Male,3,FALSE,Junior,3,Married,1,0,4,6,1,6,22,5,3,2
28,6,Bike,Legal,Bachelor,1,Part-Time,Male,6,FALSE,Senior,4,Single,2,8,2,7,2,17,43,3,5,5
31,9,Bike,Legal,Bachelor,1,Part-Time,Male,9,TRUE,Senior,5,Married,3,8,2,6,1,24,44,4,5,1
28,3,Bike,Legal,High School,1,Contract,Female,4,FALSE,Junior,4,Single,2,0,3,8,1,7,22,5,2,5
25,10,Bike,Legal,High School,1,Full-Time,Male,3,FALSE,Junior,4,Single,1,0,2,9,4,5,22,4,3,4
28,6,Bike,Legal,High School,1,Full-Time,Male,6,TRUE,Junior,1,Married,2,0,3,4,5,7,23,1,2,2
23,6,Bike,Legal,High School,1,Part-Time,Female,1,FALSE,Junior,3,Single,0,0,1,6,2,10,20,1,2,5
22,7,Bike,Legal,High School,1,Part-Time,Male,0,FALSE,Intern/Fresher,1,Single,0,0,1,7,2,25,10,2,3,4
22,5,Bike,Legal,High School,1,Part-Time,Male,0,FALSE,Junior,1,Single,0,0,3,6,1,9,20,1,3,4
30,9,Bike,Legal,Master,1,Contract,Female,8,FALSE,Mid,4,Single,2,0,3,8,3,11,34,4,4,2
38,7,Bike,Legal,Master,1,Full-Time,Female,2,FALSE,Mid,4,Married,5,0,4,7,2,14,31,2,5,5
53,6,Bike,Legal,Master,1,Full-Time,Male,16,FALSE,Lead,4,Married,10,9,2,7,1,28,58,4,3,2
37,9,Bike,Legal,Master,1,Full-Time,Male,6,FALSE,Senior,5,Divorced,5,4,3,6,3,15,43,1,3,5
32,1,Bike,Legal,Master,1,Full-Time,Male,10,FALSE,Senior,4,Single,3,2,4,7,1,22,45,4,1,3
38,1,Bike,Legal,Master,1,Full-Time,Male,14,TRUE,Mid,3,Married,5,0,2,7,2,12,37,1,4,4
40,7,Bike,Legal,PhD,1,Part-Time,Other,18,FALSE,Lead,1,Single,6,5,3,7,1,24,59,2,1,3
23,6,Bike,Marketing,Bachelor,1,Contract,Female,1,FALSE,Intern/Fresher,3,Single,0,0,1,8,3,25,10,2,2,4
33,10,Bike,Marketing,Bachelor,1,Contract,Female,11,FALSE,Mid,5,Single,3,0,0,8,3,12,36,5,3,5
54,1,Bike,Marketing,Bachelor,1,Contract,Female,26,FALSE,Senior,5,Married,10,3,2,5,1,22,53,2,1,1
28,9,Bike,Marketing,Bachelor,1,Contract,Female,6,TRUE,Mid,2,Single,2,0,3,6,1,10,33,3,5,2
23,7,Bike,Marketing,Bachelor,1,Full-Time,Female,1,FALSE,Intern/Fresher,4,Single,0,0,2,7,1,22,10,5,2,5
24,7,Bike,Marketing,Bachelor,1,Full-Time,Female,2,FALSE,Junior,3,Married,0,0,2,6,1,10,21,5,3,2
46,19,Bike,Marketing,Bachelor,2,Full-Time,Female,2,FALSE,Junior,9,Single,0,0,5,14,4,14,41,3,8,4
98,8,Bike,Marketing,Bachelor,2,Full-Time,Female,27,FALSE,Lead,8,Married,18,10,5,14,3,48,113,4,6,6
150,29,Bike,Marketing,Bachelor,4,Full-Time,Female,48,FALSE,Mid,7,Married,19,0,6,27,4,46,145,8,6,14
35,6,Bike,Marketing,Bachelor,1,Full-Time,Female,13,FALSE,Mid,4,Single,4,0,1,8,3,12,36,5,5,4
39,6,Bike,Marketing,Bachelor,1,Full-Time,Female,5,FALSE,Senior,5,Single,5,8,3,8,2,22,42,3,2,3
52,10,Bike,Marketing,Bachelor,1,Full-Time,Female,22,TRUE,Lead,3,Married,10,7,2,6,3,29,61,2,2,5
32,7,Bike,Marketing,Bachelor,1,Full-Time,Female,10,TRUE,Mid,4,Married,3,0,1,7,1,13,35,3,2,3
27,5,Bike,Marketing,Bachelor,1,Full-Time,Male,5,FALSE,Junior,4,Single,1,0,2,7,1,8,22,5,1,5
51,2,Bike,Marketing,Bachelor,1,Full-Time,Male,5,FALSE,Lead,4,Married,9,4,1,6,1,25,52,4,5,4
48,1,Bike,Marketing,Bachelor,1,Full-Time,Male,21,FALSE,Mid,4,Divorced,8,0,2,6,1,12,40,4,2,3
31,6,Bike,Marketing,Bachelor,1,Full-Time,Male,8,FALSE,Mid,4,Married,3,0,3,9,3,14,34,5,3,1
83,13,Bike,Marketing,Bachelor,2,Full-Time,Male,38,FALSE,Senior,8,Married,13,12,3,14,3,36,98,9,5,6
40,4,Bike,Marketing,Bachelor,1,Full-Time,Male,6,TRUE,Senior,4,Divorced,6,2,0,7,1,19,43,1,5,4
29,9,Bike,Marketing,Bachelor,1,Full-Time,Other,6,FALSE,Junior,5,Single,2,0,2,6,1,8,23,4,2,2
